date_UTC,country,latitude,longitude,unit,parameter,value,sensortype
2022-04-27T18:00:00+00:00,IT,41.886111,12.541667,µg/m³,o3,88,reference grade
2022-04-27T17:00:00+00:00,IT,41.886111,12.541667,µg/m³,o3,90,reference grade
2022-04-27T16:00:00+00:00,IT,41.886111,12.541667,µg/m³,o3,94,reference grade
2022-04-27T15:00:00+00:00,IT,41.886111,12.541667,µg/m³,o3,96,reference grade
2022-04-27T14:00:00+00:00,IT,41.886111,12.541667,µg/m³,o3,94,reference grade
2022-04-27T13:00:00+00:00,IT,41.886111,12.541667,µg/m³,o3,100,reference grade
2022-04-27T12:00:00+00:00,IT,41.886111,12.541667,µg/m³,o3,91,reference grade
2022-04-27T11:00:00+00:00,IT,41.886111,12.541667,µg/m³,o3,79,reference grade
2022-04-27T10:00:00+00:00,IT,41.886111,12.541667,µg/m³,o3,60,reference grade
2022-04-27T09:00:00+00:00,IT,41.886111,12.541667,µg/m³,o3,42,reference grade
2022-04-27T08:00:00+00:00,IT,41.886111,12.541667,µg/m³,o3,23,reference grade
2022-04-27T07:00:00+00:00,IT,41.886111,12.541667,µg/m³,o3,16,reference grade
2022-04-27T06:00:00+00:00,IT,41.886111,12.541667,µg/m³,o3,16,reference grade
2022-04-27T05:00:00+00:00,IT,41.886111,12.541667,µg/m³,o3,15,reference grade
2022-04-27T04:00:00+00:00,IT,41.886111,12.541667,µg/m³,o3,20,reference grade
2022-04-27T03:00:00+00:00,IT,41.886111,12.541667,µg/m³,o3,30,reference grade
2022-04-27T02:00:00+00:00,IT,41.886111,12.541667,µg/m³,o3,11,reference grade
2022-04-27T01:00:00+00:00,IT,41.886111,12.541667,µg/m³,o3,4,reference grade
2022-04-27T00:00:00+00:00,IT,41.886111,12.541667,µg/m³,o3,13,reference grade
2022-04-26T23:00:00+00:00,IT,41.886111,12.541667,µg/m³,o3,24,reference grade
2022-04-26T22:00:00+00:00,IT,41.886111,12.541667,µg/m³,o3,58,reference grade
2022-04-26T21:00:00+00:00,IT,41.886111,12.541667,µg/m³,o3,81,reference grade
2022-04-26T20:00:00+00:00,IT,41.886111,12.541667,µg/m³,o3,83,reference grade
2022-04-26T19:00:00+00:00,IT,41.886111,12.541667,µg/m³,o3,86,reference grade
2022-04-26T18:00:00+00:00,IT,41.886111,12.541667,µg/m³,o3,90,reference grade
2022-04-26T17:00:00+00:00,IT,41.886111,12.541667,µg/m³,o3,93,reference grade
2022-04-26T16:00:00+00:00,IT,41.886111,12.541667,µg/m³,o3,98,reference grade
2022-04-26T15:00:00+00:00,IT,41.886111,12.541667,µg/m³,o3,99,reference grade
2022-04-26T14:00:00+00:00,IT,41.886111,12.541667,µg/m³,o3,100,reference grade
2022-04-26T13:00:00+00:00,IT,41.886111,12.541667,µg/m³,o3,98,reference grade
2022-04-26T12:00:00+00:00,IT,41.886111,12.541667,µg/m³,o3,92,reference grade
2022-04-26T11:00:00+00:00,IT,41.886111,12.541667,µg/m³,o3,89,reference grade
2022-04-26T10:00:00+00:00,IT,41.886111,12.541667,µg/m³,o3,84,reference grade
2022-04-26T09:00:00+00:00,IT,41.886111,12.541667,µg/m³,o3,49,reference grade
2022-04-26T08:00:00+00:00,IT,41.886111,12.541667,µg/m³,o3,22,reference grade
2022-04-26T07:00:00+00:00,IT,41.886111,12.541667,µg/m³,o3,7,reference grade
2022-04-26T06:00:00+00:00,IT,41.886111,12.541667,µg/m³,o3,4,reference grade
2022-04-26T05:00:00+00:00,IT,41.886111,12.541667,µg/m³,o3,5,reference grade
2022-04-25T22:00:00+00:00,IT,41.886018,12.541614,µg/m³,o3,22,reference grade
2022-04-25T21:00:00+00:00,IT,41.886111,12.541667,µg/m³,o3,74,reference grade
2022-04-25T21:00:00+00:00,IT,41.886018,12.541614,µg/m³,o3,35,reference grade
2022-04-25T20:00:00+00:00,IT,41.886018,12.541614,µg/m³,o3,55,reference grade
2022-04-25T20:00:00+00:00,IT,41.886111,12.541667,µg/m³,o3,84,reference grade
2022-04-25T19:00:00+00:00,IT,41.886111,12.541667,µg/m³,o3,89,reference grade
2022-04-25T19:00:00+00:00,IT,41.886018,12.541614,µg/m³,o3,74,reference grade
2022-04-25T18:00:00+00:00,IT,41.886018,12.541614,µg/m³,o3,84,reference grade
2022-04-25T18:00:00+00:00,IT,41.886111,12.541667,µg/m³,o3,95,reference grade
2022-04-25T17:00:00+00:00,IT,41.886018,12.541614,µg/m³,o3,89,reference grade
2022-04-25T17:00:00+00:00,IT,41.886111,12.541667,µg/m³,o3,95,reference grade
2022-04-25T16:00:00+00:00,IT,41.886018,12.541614,µg/m³,o3,95,reference grade
2022-04-25T16:00:00+00:00,IT,41.886111,12.541667,µg/m³,o3,93,reference grade
2022-04-25T15:00:00+00:00,IT,41.886018,12.541614,µg/m³,o3,95,reference grade
2022-04-25T15:00:00+00:00,IT,41.886111,12.541667,µg/m³,o3,93,reference grade
2022-04-25T14:00:00+00:00,IT,41.886111,12.541667,µg/m³,o3,93,reference grade
2022-04-25T14:00:00+00:00,IT,41.886018,12.541614,µg/m³,o3,93,reference grade
2022-04-25T13:00:00+00:00,IT,41.886018,12.541614,µg/m³,o3,93,reference grade
2022-04-25T13:00:00+00:00,IT,41.886111,12.541667,µg/m³,o3,91,reference grade
2022-04-25T12:00:00+00:00,IT,41.886111,12.541667,µg/m³,o3,89,reference grade
2022-04-25T12:00:00+00:00,IT,41.886018,12.541614,µg/m³,o3,93,reference grade
2022-04-25T11:00:00+00:00,IT,41.886111,12.541667,µg/m³,o3,88,reference grade
2022-04-25T11:00:00+00:00,IT,41.886018,12.541614,µg/m³,o3,91,reference grade
2022-04-25T10:00:00+00:00,IT,41.886018,12.541614,µg/m³,o3,89,reference grade
2022-04-25T10:00:00+00:00,IT,41.886111,12.541667,µg/m³,o3,84,reference grade
2022-04-25T09:00:00+00:00,IT,41.886018,12.541614,µg/m³,o3,88,reference grade
2022-04-25T09:00:00+00:00,IT,41.886111,12.541667,µg/m³,o3,83,reference grade
2022-04-25T08:00:00+00:00,IT,41.886111,12.541667,µg/m³,o3,83,reference grade
2022-04-25T07:00:00+00:00,IT,41.886111,12.541667,µg/m³,o3,71,reference grade
2022-04-25T06:00:00+00:00,IT,41.886111,12.541667,µg/m³,o3,67,reference grade
2022-04-25T05:00:00+00:00,IT,41.886111,12.541667,µg/m³,o3,73,reference grade
2022-04-25T04:00:00+00:00,IT,41.886111,12.541667,µg/m³,o3,80,reference grade
2022-04-25T03:00:00+00:00,IT,41.886111,12.541667,µg/m³,o3,81,reference grade
2022-04-25T02:00:00+00:00,IT,41.886111,12.541667,µg/m³,o3,80,reference grade
2022-04-25T01:00:00+00:00,IT,41.886111,12.541667,µg/m³,o3,77,reference grade
2022-04-25T00:00:00+00:00,IT,41.886111,12.541667,µg/m³,o3,78,reference grade
2022-04-24T23:00:00+00:00,IT,41.886111,12.541667,µg/m³,o3,79,reference grade
